title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
Update main.less,38,3,2,1,"Smaller, monospaced font for code display.
",1,3,2015-01-18T04:04:45Z,2015-01-21T15:25:26Z,,43,3 days 11:20:41
Adding testing feature to bonfire,39,5049,4,3,"I have created an addition to the bonfire IDE that allows users to test any function within the main coding window.  Here are some pieces of its functionality:
- Identifies arguments and creates input boxes for each
- Side by side mode with editor
- Test suite execution displays percentage of tests correct, highlights passing tests green, failing tests red
- For failing tests, displays what the actual output was
- Users can delete tests once they are created

Here are some todos that still remain:
- Don't use the eval method to evaluate the test. Nate has the plugin, but it is currently only configured with the console output.  I need to make the test framework work as a callback from the plugin completing its execution.  This requires changing a large portion of Nate's code, so I held off on it.
- Allow other types of comparisons besides equality.  We can test behavior, type, length, features of a JSON object, almost anything with chai.
",1,1,2015-01-18T07:59:04Z,2015-01-21T06:50:47Z,,952,2 days 22:51:43
Added a title to bonfire for seo,41,2,1,1,"Learn to code is our focus keyword for seo, so I added a title :)
",0,2,2015-01-18T16:32:01Z,2015-01-21T15:22:46Z,2015-01-21T15:22:46Z,66,2 days 22:50:45
Changed Challenge Complete Tweet Auto Text: Fix for #49,50,2,2,1,"**Change 1:**
I added the FreeCodeCamp Twitter username as well as the ""Related"" parameter to the auto tweet text.

This changes the tweet text from:

I just NUKED Free Code Camp Challenge #6: Use jQuery for Styling http://freecodecamp.com/challenges/12  #learntocode #javascript

to:

I just NUKED @FreeCodeCamp Challenge #6: Use jQuery for Styling http://freecodecamp.com/challenges/12 #learntocode #javascript

---

**Change 2:**
Also added the ""Related accounts"" parameter as per https://dev.twitter.com/web/intents

Which gives Tweet poster an opportunity by Twitter to follow the FreeCodeCamp Twitter account if they haven't done so already done so. Poster's that already follow the FCC account will not see this option.

---

**To test:**
Unfollow FCC on Twitter, 
complete a challenge ,
Tweet about challenge completion

Expected result:
1) FreeCodeCamp Username in tweet
2) After tweeting opportunity to follow FCC account
",0,1,2015-01-24T18:13:53Z,2015-01-28T20:08:47Z,,932,4 days 01:54:54
Use should.eql to compare arrays,58,2,2,1,"When trying to pass the  ""Return Largest Numbers in Arrays"" challenge, I seem to be unable to pass the provided tests. I'm not familiar with Chai, but it would seem that we need to switch to .eql rather than === or should.equal when comparing two arrays to deeply compare the values rather than comparing objects.
",1,2,2015-01-28T23:35:22Z,2015-01-29T02:57:40Z,2015-01-29T02:57:40Z,314,0 days 03:22:18
Update bonfires.json with two new challenges,61,36,0,1,"Diff Two Arrays: Compare two arrays and return a new array with any items not found in both of the original arrays.

Word Search Puzzle: Write a function that accepts a randomized 8 x 7 capital letter grid in the form of a string with line breaks and one space between each letter column as the first argument and a 3 to 7 letter string as the second argument. The second argument is hidden in horizontal, vertical, or diagonal view somewhere within the grid. Your job is to return the coordinates (Row, Column) of the second argument in an array.
",2,2,2015-01-29T06:27:28Z,2015-02-06T04:32:09Z,,548,7 days 22:04:41
Add Cash Register Challenge,62,20,0,1,"Design a cash register drawer function that accepts purchase price as the first argument, payment as the second argument, and cash-in-drawer (cid) as the third argument. cid is a 2d array listing available currency. Return the string ""Insufficient Funds"" if change due is less than the cash-in-drawer. Return the string ""Closed"" if cash-in-drawer is equal to the change due. Otherwise, return change in coin and bills, sorted in highest to lowest order.
",5,3,2015-01-29T07:15:54Z,2015-02-06T04:33:30Z,,454,7 days 21:17:36
update bonfire URL on regex match if incomplete url,66,4,0,1,,0,2,2015-01-31T01:45:17Z,2015-02-01T01:34:52Z,2015-02-01T01:34:52Z,0,0 days 23:49:35
Fixed routing if a user types bonfires/,74,5,2,1,"Fixes a bug where if a user types www.freecodecamp.com/bonfires/ the server was taking them to /bonfires/bonfires/_challenge_ 
",0,1,2015-02-04T03:17:39Z,2015-02-04T05:39:54Z,,127,0 days 02:22:15
Update README with mongo server instructions,77,3,0,1,,2,2,2015-02-05T04:46:06Z,2015-02-06T17:01:03Z,2015-02-06T17:01:03Z,0,1 days 12:14:57
Fix typo in Bonfire Challenge,81,1,1,1,"Challenge id:  a3566b1109230028080c9345
",0,2,2015-02-05T22:22:54Z,2015-02-06T02:06:36Z,2015-02-06T02:06:36Z,40,0 days 03:43:42
Fix typos,85,547,89,5,"The only none obvious fix was this one: 'Lobster' to ""Lobster"" with double quotes for consistency. The first reference to Lobster was with single quotes and the next challenge had them in double quotes.
",0,2,2015-02-09T16:18:14Z,2015-02-11T17:19:25Z,2015-02-11T17:19:25Z,203,2 days 01:01:11
Add 18 new bonfire challenges,86,280,0,1,"Finders Keepers
Where art thou
Chunky Monkey
Falsey Bouncer
Slasher Flick
Drop it like its hot
Steamroller
Seek and Destroy
Where do I belong?
Sorted Union
Symmetric Difference
Everything Be True
Boo who?
Confirm the Ending
Convert HTML Entities
Spinal-Tap-Case
Repeat a string repeat a string
Truncate a string
",0,2,2015-02-10T05:29:29Z,2015-02-13T13:54:05Z,2015-02-13T13:54:05Z,312,3 days 08:24:36
Check for Palindromes: Removed redundancy from description,88,2,3,1,"@QuincyLarson @terakilobyte Not sure if this was intended.
",0,2,2015-02-11T06:22:56Z,2015-02-11T16:36:18Z,2015-02-11T16:36:18Z,59,0 days 10:13:22
Fix a typo in README,90,1,1,1,,0,2,2015-02-11T19:49:05Z,2015-02-13T05:13:23Z,2015-02-13T05:13:23Z,0,1 days 09:24:18
Added Moment.js library and time logic to next Live session,91,3071,1,4,,2,2,2015-02-12T07:09:53Z,2015-02-13T04:44:27Z,2015-02-13T04:44:27Z,0,0 days 21:34:34
Typos,92,6,6,1,,0,2,2015-02-12T12:10:05Z,2015-02-12T16:19:45Z,2015-02-12T16:19:45Z,0,0 days 04:09:40
Typos,93,49,33,1,,2,2,2015-02-12T13:03:50Z,2015-02-14T11:38:59Z,,0,1 days 22:35:09
Typos,94,49,33,1,"Tested. Everything appears working.
",0,2,2015-02-14T05:49:04Z,2015-02-14T11:33:07Z,2015-02-14T11:33:07Z,36,0 days 05:44:03
Fixed grammar,95,2,2,1,"Removed ""be"" to make the sentence more ""grammatically correct"".
",2,2,2015-02-14T14:21:45Z,2015-02-15T07:40:43Z,,64,0 days 17:18:58
Bonfire typos fixes,97,10,9,1,,0,2,2015-02-14T22:09:12Z,2015-02-15T01:39:32Z,,0,0 days 03:30:20
Bonfire fixes,99,16,2,1,,0,2,2015-02-15T01:58:15Z,2015-02-15T07:36:22Z,2015-02-15T07:36:22Z,0,0 days 05:38:07
Ramda fire,102,14,2,2,"Added ramda to bonfire
",0,1,2015-02-16T05:52:10Z,2015-02-16T20:23:46Z,,23,0 days 14:31:36
Fix 'Cash Register' bonfire bug. Closes #103,104,1,1,1,,0,2,2015-02-16T07:03:31Z,2015-02-16T15:23:02Z,2015-02-16T15:23:02Z,0,0 days 08:19:31
Fix 'Inventory Update' bonfire. Closes #105,106,8,8,1,,0,2,2015-02-16T16:37:25Z,2015-02-17T20:36:15Z,2015-02-17T20:36:15Z,0,1 days 03:58:50
Ux improvements,109,164,152,12,,0,1,2015-02-20T00:34:12Z,2015-02-20T02:14:44Z,2015-02-20T02:14:44Z,0,0 days 01:40:32
Ramda fire,110,28,2,7,"Incorporate latest version of ramda into bonfire.
",0,2,2015-02-21T06:07:41Z,2015-02-21T09:19:16Z,2015-02-21T09:19:16Z,50,0 days 03:11:35
Flip windows and mac gitter links,114,2,2,1,,0,3,2015-02-22T15:07:23Z,2015-02-22T20:45:11Z,2015-02-22T20:45:11Z,0,0 days 05:37:48
change for OSX env setting in README.md,116,25,1,1,"added gulp prerequisite / added comment about mongo and use freecodecamp.
added instructions to help mac user understand where setenv changes should be made and how to perform these changes.
added comments about getting GOOGLE_ID app key
",2,2,2015-02-24T03:01:34Z,2015-02-24T16:12:25Z,,238,0 days 13:10:51
Update bonfire challenge description,117,1,1,1,"Clarified the description on the Return Largest Numbers in Arrays challenge.
",0,2,2015-02-24T03:38:02Z,2015-02-26T07:42:20Z,2015-02-26T07:42:20Z,77,2 days 04:04:18
update description on Union Sort bonfire challenge for clarity,118,1,0,1,"Added a sentence for clarity on sorted union bonfire.

(The previous commit is simply me updating my local copy to match the master here.)
",0,2,2015-02-24T18:23:06Z,2015-02-26T07:42:47Z,2015-02-26T07:42:47Z,139,1 days 13:19:41
Fixup Map the Debris,119,30,7,1,"Units were missing, calculated values do not match results using constants for Earth's Radius, Earth's Mass, and the Gravitational Constant G from Wikipedia.
",4,3,2015-02-25T18:42:11Z,2015-03-03T08:11:25Z,,158,5 days 13:29:14
Fixed expected answer for third test on Pairwise bonfire.,149,3,3,1,"For the case of `arr = [0,0,0,0,1,1]`, and `arg = 1`, every element in `arr` can be added to another to sum to one. Therefore, the answer should be `0 + 1 + 2 + 3 + 4 + 5 = 15`.
",4,3,2015-03-06T05:34:51Z,2015-03-07T12:05:51Z,2015-03-07T12:05:51Z,178,1 days 06:31:00
Update README.md,153,2,0,1,"Closes issue #152
",1,1,2015-03-06T22:09:47Z,2015-03-07T06:06:14Z,2015-03-07T06:06:14Z,18,0 days 07:56:27
Altered Cash Register,166,1,1,1,"I altered the Cash Register bonfire description for better clarity, and fixed a typo.
",1,4,2015-03-09T03:30:42Z,2015-03-10T05:44:44Z,2015-03-10T05:44:44Z,86,1 days 02:14:02
"""Update my public portfolio"" button fix",167,5,5,1,"""Update my public portfolio"" button was appearing on all account pages.
",1,2,2015-03-09T09:41:14Z,2015-03-09T21:47:08Z,2015-03-09T21:47:08Z,72,0 days 12:05:54
User validation and meta description,168,572,461,12,"Added user validation on the server. Added html sanitizing for all user input into news. Added og:image and meta description scraping for automatic inclusion in posts from resources that provide such details.
",0,1,2015-03-09T09:48:46Z,2015-03-09T23:20:22Z,,209,0 days 13:31:36
"""challengeName is not defined"" fix",169,2,2,1,"Was getting this error in Firefox and Chrome: Uncaught ReferenceError: challengeName is not defined
",0,2,2015-03-09T09:49:54Z,2015-03-09T20:08:11Z,2015-03-09T20:08:11Z,100,0 days 10:18:17
Pointer on upvote button and reply button mouseover,177,4,0,1,"Fixes #175
",0,2,2015-03-09T21:18:38Z,2015-03-10T05:46:00Z,2015-03-10T05:46:00Z,11,0 days 08:27:22
Hide codeEditor textarea to prevent flash,178,1,1,1,"Fixes #176.

Hide #codeEditor textarea so it won't flash when code mirror hides it.
",0,2,2015-03-09T22:40:52Z,2015-03-10T05:52:03Z,2015-03-10T05:52:03Z,84,0 days 07:11:11
Gitter chat embed fix,184,1,0,1,"Added https://*.gitter.im to 'frameSrc' CSP

Fixes #182 
",5,3,2015-03-10T22:43:37Z,2015-03-12T05:33:39Z,2015-03-12T05:33:39Z,57,1 days 06:50:02
Next courseware flow,188,11,5,2,"Closes issue #186 
",1,3,2015-03-11T15:06:28Z,2015-03-12T05:35:23Z,2015-03-12T05:35:23Z,19,0 days 14:28:55
Allow quotation marks,190,29,12,3,"Closes #189 .
This PR builds on #188 and uses it as a base. It should be merged after that one to ensure automatic issue closing by reference.
",0,3,2015-03-11T23:24:17Z,2015-03-12T06:06:35Z,2015-03-12T06:06:35Z,143,0 days 06:42:18
Codemirror multiline indent fix,197,6,2,1,"Default indent was being overwritten. Now adds spaces if text is already selected. 

Fixes #196.
",1,0,2015-03-14T05:10:52Z,2015-03-14T07:53:36Z,,97,0 days 02:42:44
Fixed bonfire selected tab bug,198,17,9,3,"If you selected text in a bonfire and pressed tab it would delete the text instead of tabbing.
Closes https://github.com/FreeCodeCamp/freecodecamp/issues/196
",1,3,2015-03-14T07:39:50Z,2015-03-14T21:27:15Z,,158,0 days 13:47:25
Challenge point save fix.,200,249,11,2,"Fix for #194.

Completing a Challenge was resetting user.points to the total number of Challenges completed causing Bonfire points to be discarded.

user.challengesCompleted wasn't being used so I updated the code to use it to track completed Challenges. I'm not sure if I went the best way using it though. I copied the user.challengesHash setting to mirror the challenges since I didn't want to mess with code that was already being used. So whenever you add a new Challenge in the future you will need to add the same to challengesCompleted.
",1,1,2015-03-14T08:23:38Z,2015-03-14T20:25:33Z,,545,0 days 12:01:55
Remove bower_components from source and use bower.json,201,72,384111,796,"Use `bower install` to install bower components.
",5,4,2015-03-14T08:33:58Z,2015-03-18T18:19:25Z,,49,4 days 09:45:27
Dev server crash fix,204,6,4,1,"Fix for #199.

Checks that the request returned a 200. API fails return 400/401.

**THIS NEEDS TO BE TESTED WITH REAL API KEYS. I don't have any.**
",7,3,2015-03-14T23:19:40Z,2015-03-18T03:10:30Z,2015-03-18T03:10:30Z,148,3 days 03:50:50
Upvote fix,214,19,4,3,"https://github.com/FreeCodeCamp/freecodecamp/issues/210

It now checks if the user has voted or not. If they have voted the up arrow will not be rendered. If they have not voted nothing will change.

If the upvote arrow is clicked it will now disappear as well as send the upvote to the servers.

The existing code can be modified to instead change the asset or some other function.
",1,3,2015-03-17T07:24:26Z,2015-03-17T22:48:15Z,2015-03-17T22:48:15Z,383,0 days 15:23:49
Fix no user comment display,215,34,11,5,,3,1,2015-03-17T08:46:49Z,2015-03-17T20:03:07Z,,0,0 days 11:16:18
Fix no user comment display,217,34,11,5,"Now comparing author id against userid
",2,3,2015-03-17T20:05:28Z,2015-03-17T22:12:34Z,2015-03-17T22:16:16Z,39,0 days 02:10:48
fullUser fixes,222,2,2,1,"Set to null if user isn't logged in.

`delete fullUser.password;` wasn't deleting the password so setting it to null instead.
",2,1,2015-03-18T02:12:37Z,2015-03-18T03:16:40Z,2015-03-18T03:16:40Z,126,0 days 01:04:03
Stories js var double output fix,223,0,2,1,"challengeName and user are in stories/index.jade and stories/show.jade.

show.jade is only called from index.jade. This fix removes double output of those vars.
",1,1,2015-03-18T02:20:08Z,2015-03-18T03:27:40Z,2015-03-18T03:27:40Z,161,0 days 01:07:32
"App ""listens"" before 'MongoStore' is ready fix",225,11,11,1,"fix for #224 
",17,2,2015-03-18T03:19:50Z,2015-03-18T06:20:36Z,,14,0 days 03:00:46
fix email validation issue #212,226,3,1,1,,0,3,2015-03-18T06:22:00Z,2015-03-21T07:40:03Z,2015-03-21T07:40:03Z,0,3 days 01:18:03
Reactify,236,9,22,7,"Eslint fix for webstorm and renamed bonfire to bonfires in the model to use existing collection.
",1,2,2015-03-19T09:26:07Z,2015-03-21T07:55:44Z,,97,1 days 22:29:37
User will now get a point for news/stories interactions,256,1127,1021,8,"User will get one point for a story submission as well as a point for every upvote on a submitted story. Closes #156 
",5,3,2015-03-22T11:08:50Z,2015-03-28T13:12:18Z,2015-03-28T13:12:18Z,118,6 days 02:03:28
Bonfire MDN links - Issue #255,262,130,18,5,"Links for the one-flame bonfires have been added. I can continue with the rest or leave it here, up to you.

If there are no links to show, the ""helpful links"" header does not display.

TODO? I can also add an input on the ""create bonfire"" page to allow a user to add these at time of creation.
",7,5,2015-03-24T05:34:06Z,2015-03-29T03:34:34Z,2015-03-29T03:34:34Z,295,4 days 22:00:28
Add production error handler,265,42,3,2,,0,1,2015-03-24T15:12:04Z,2015-03-25T13:56:04Z,2015-03-25T13:56:04Z,0,0 days 22:44:00
Controller error handlers,268,53,42,5,"#261
",17,3,2015-03-26T05:55:58Z,2015-03-31T20:46:58Z,2015-03-31T20:46:58Z,5,5 days 14:51:00
Stories reply and upvote redirect to signin when user isn't signed in.,271,13,3,4,"Redirects user back to story after signing in.

Fix for #259

**_I HAVE NOT TESTED THIS WITH OAUTH SIGN IN. Only Email.**_
",1,2,2015-03-28T05:19:18Z,2015-03-29T21:27:43Z,2015-03-29T21:27:42Z,123,1 days 16:08:24
Bonfire mdn links: 3-4 flame,272,169,31,5,"This commit actually includes the ones from 1-2 as well.

I generally tried to give less help on the later bonfires.

The comma mistype from the other commit should be fixed here as well. 
",2,3,2015-03-28T17:12:24Z,2015-03-29T21:28:58Z,2015-03-29T21:28:58Z,189,1 days 04:16:34
Coursewares error handling (issue #261),273,26,19,1,"Only a few things needed fixed here.
",1,3,2015-03-28T18:03:03Z,2015-03-29T21:32:16Z,2015-03-29T21:32:16Z,37,1 days 03:29:13
Posts completed status when challenge 2 is opened for issue #274,275,14,0,1,"I've modified the logic to mark challenge 2 completed when it has been selected then continue redirecting to challenge 3 as it was originally designed.
",1,2,2015-03-28T21:20:06Z,2015-03-29T21:34:13Z,2015-03-29T21:34:13Z,152,1 days 00:14:07
Ux improvements,276,3904,3055,54,"Zipline logic ready to go, master has been merged.
",1,3,2015-03-29T12:15:55Z,2015-03-29T21:57:43Z,2015-03-29T21:57:43Z,51,0 days 09:41:48
"Fix some bugs, improver perf of show all bonfires/challenges and add buttons to challenge views",278,85,47,11,,0,2,2015-03-30T00:11:05Z,2015-03-30T20:12:56Z,2015-03-30T20:12:56Z,0,0 days 20:01:51
Take @brndbr's styleguide to address #112,279,33,13,5,,0,2,2015-03-30T00:30:40Z,2015-03-30T20:12:40Z,2015-03-30T20:12:40Z,0,0 days 19:42:00
Create Wiki controller to replace our static pages,288,566,803,29,,2,2,2015-03-30T23:00:55Z,2015-04-15T08:03:19Z,2015-04-15T08:03:19Z,0,15 days 09:02:24
added 5 new bonfires,290,102,2,2,"Created 5 new bonfires, four level 2 and one level 4
",2,2,2015-03-31T03:34:53Z,2015-04-12T04:02:10Z,2015-04-12T04:02:10Z,53,12 days 00:27:17
On story submission create unique story URL if slug already exists,291,42,33,1,"#283

Also changed Story.find to Story.findOne because if you clicked on a link like ""/stories/google"" and there was a ""/stories/google-1"" in the database Story.find would return both and end up sending the user to ""/stories/google"" then ""/stories/google-1"". The user would just see ""/stories/google-1"" since it happens so fast but you can see it in the cli.

Since only 1 result should be returned anyway (`exports.returnIndividualStory`), I figured using findOne would be appropriate.

Quick question: What Is the reason for find using regex on the Story.find?:
 `Story.find({'storyLink' : new RegExp(storyName, 'i')}, function(err, story) {`
",5,1,2015-03-31T04:16:01Z,2015-03-31T20:43:28Z,2015-03-31T20:43:28Z,645,0 days 16:27:27
On story submission create unique story URL if slug already exists FIX,294,3,1,1,"#283 #291
",2,1,2015-03-31T21:36:27Z,2015-04-22T00:32:43Z,,10,21 days 02:56:16
having the text for showing streak should be fine. ,296,1,1,1,"Nothing can fix the heatmap graphic. I tried setting HTML attributes:

> **Notes**
> When [_Element_.setAttribute() is] called on an HTML element in an HTML document, setAttribute lower-cases its attribute name argument.

[MDN](https://developer.mozilla.org/en-US/docs/Web/API/Element/setAttribute)

However I think just having the streaks visible should be ok. No harm in that.
",2,3,2015-04-01T03:57:02Z,2015-04-15T06:42:14Z,,379,14 days 02:45:12
Issue #277 Fix- coursewares chai-jquery test issue,298,11,11,1,"Should address #277 : The tests were not catching correct color attrs for the CSS challenges.

Going forward - reason seems to be that jquery's .css() returns the _computed_ value for colors - i.e. it's running the tests using rgb(255, 0, 0) instead of ""red"" or hex values. It's also very picky and does want the spaces after the commas - rgb(255,0,0) does not work. (The docs used to say that you can use strings/hex; they have since been corrected.)

http://api.jquery.com/css/#css1

I also changed another test that was looking for ""monospace"" as the font degradation, but the instructions said to use ""Serif."" (Specify how fonts should degrade)

I tested them on my computer and they seemed to work just fine. 
",2,3,2015-04-06T14:04:11Z,2015-04-15T06:43:38Z,2015-04-15T06:43:38Z,715,8 days 16:39:27
New feature to allow users to easily pair with each other,299,2882,2524,28,"Adds a feature to allow users to easily pair for live coding. They can create a status and be visibly available. When someone wants to pair up they can click on the users post and instantly be put into a gitter chat with that person.

This was done with the help of @aldraco Either of us can be contacted with questions or for an explanation. 
",6,4,2015-04-07T07:16:01Z,2015-04-22T02:27:44Z,,344,14 days 19:11:43
We're ready to move to slack from gitter thanks to @storbeck,303,91,8,8,,0,1,2015-04-09T05:53:50Z,2015-04-09T17:50:06Z,2015-04-09T17:50:06Z,0,0 days 11:56:16
Update README.md with better contribution directions. Point to AirBnB st...,310,9,8,1,"...yleguide. (closes #307)
",0,1,2015-04-15T07:07:19Z,2015-04-19T05:38:56Z,2015-04-19T05:38:56Z,27,3 days 22:31:37
Attempt to fix wording on seek and destroy bonfire issue #293,311,2,2,1,,0,3,2015-04-15T07:59:33Z,2015-04-22T02:28:14Z,2015-04-22T02:28:14Z,0,6 days 18:28:41
Ux improvements,319,1147,411,25,"Appears stable.
",0,4,2015-04-17T04:54:33Z,2015-04-17T06:00:58Z,2015-04-17T06:00:58Z,16,0 days 01:06:25
new Pair Code feature PR to ux-improvements instead of master,322,2757,2425,21,"took out gitter and adding slack integration.

We are not able to embed a slack chat due to cross scripting restrictions from slack.

We could add the bot integration, but for now the user is able to add details and other users can see their slack handle to find them.
",5,3,2015-04-17T15:28:29Z,2015-04-22T02:06:55Z,,269,4 days 10:38:26
Added the option to edit a comment for up to 10 minutes - for issue #211,328,90,4,3,"https://github.com/FreeCodeCamp/freecodecamp/issues/211

This should complete and close this issue. If a users post is less than 10 minutes old and belongs to them there will appear an edit button next to the reply button. 
",1,3,2015-04-18T06:56:13Z,2015-04-20T02:22:55Z,2015-04-20T02:22:55Z,224,1 days 19:26:42
Rewrite the Symmetric Difference Bonfire description,338,3,2,1,"This bonfire was very hard for me to understand so I tried to rewrite the description.
",1,2,2015-04-21T20:03:18Z,2015-04-22T02:31:00Z,,87,0 days 06:27:42
Format and prettify bonfire solutions on portfolio page #332 FIX,339,242,2,34,"Here it is.  I did my best to change as little as possible outside the account page.  The prettify theme can also be easily changed.
",1,1,2015-04-22T05:19:41Z,2015-04-24T03:23:18Z,,133,1 days 22:03:37
Fix for issue #349: Zipline Copy Typo,350,1,1,1,"Fix for issue #349.
",1,2,2015-04-23T21:14:06Z,2015-04-23T22:48:17Z,2015-04-23T22:48:17Z,20,0 days 01:34:11
"Fix for issue #342: ""You can contribute to our field guide here"" Page No...",351,1,1,1,"...t Found

The old link pointed to another branch.  Updated to point at master.
",1,2,2015-04-23T21:32:07Z,2015-04-23T22:49:16Z,2015-04-23T22:49:16Z,81,0 days 01:17:09
Update README.md,354,25,11,1,"Update README for more detailed instructions on how to contribute.
",0,2,2015-04-23T22:54:40Z,2015-04-24T00:52:20Z,2015-04-24T00:52:20Z,67,0 days 01:57:40
Several UX fixes and a www redirect bug fix,357,207,260,21,,0,2,2015-04-24T10:06:05Z,2015-04-24T23:15:21Z,,0,0 days 13:09:16
Site speed,359,277,190,8,"I've refactored the resources.js controller to respond faster by caching the results of most of the utility functions that get id and name info for our content. 

Controllers have been refactored to separate the return from mongo from the data used further down in the functions. 

The sitemap function in resources has been heavily refactored. Returning all users from the database is a massive network request and was blocking the server. The async.js library has been used in favor of repeatedly nested callbacks to make things easier to read.

The privacy route has been restored and permanently redirects to the correct field-guide.

Minor format changes in code for readability as well as linting cleanup to unify style.

Update Make a Person bonfire for more detailed instructions, closes #336
",0,1,2015-04-24T19:47:44Z,2015-04-24T23:02:16Z,2015-04-24T23:02:16Z,801,0 days 03:14:32
slight tidy and example,360,2,2,1,"Replaced one occurrence of gitter with slack and added an example bit torrent client after someone pointed out in the help section that there was not guide to demonstrate how to do so.
",2,4,2015-04-24T19:49:43Z,2015-04-25T03:58:32Z,2015-04-25T03:58:32Z,185,0 days 08:08:49
Fixes #352 - Camper News email notification,368,41,36,4,"The logic behind the Camper News email notifications now fits these requirements:

> - As a person who posted the story, I want to receive a notification when someone comments on it.
> - As a person who comments on a story, I want to receive a notification if someone replies to my comment.
> - As a person receiving such a notification email, I can see who commented and click a link to go directly to the story.
",0,3,2015-04-25T14:15:46Z,2015-04-26T02:00:40Z,2015-04-26T02:00:40Z,414,0 days 11:44:54
Bug fixes to stories and fieldguides,369,60,18,8,"Closes #366 
Closes #367 
",0,2,2015-04-25T16:29:47Z,2015-04-26T01:14:43Z,2015-04-26T01:14:43Z,26,0 days 08:44:56
Usability improvements and courseware/field-guide copy improvements,373,97,742,9,,0,1,2015-04-27T07:34:13Z,2015-04-30T20:18:39Z,,0,3 days 12:44:26
Twitter API endpoint for Zipline/Codepen,389,40,2,4,"New Dependencies:
- twitter application TWITTER_TOKEN and TWITTER_TOKEN_SECRET should be added to .env.

Usage:
Campers can make a simple $.ajax call to freecodecamp.com/api/codepen/twitter/:screenName and a JSON with the ten most recent tweets from either :screenName or FreeCodeCamp will be returned. No XSS issues w/ codepen.

I also added room for other API calls for similar usage in codepen - twitch, slack, and possibly a tweet stream - which I can add later if approved, or remove if not.

Thanks!
",2,4,2015-04-29T13:59:11Z,2015-04-30T20:16:31Z,,506,1 days 06:17:20
Fixed typo on nonprofit detail page,393,2,2,1,"Fixed a typo on nonprofit show.jade
- Line 65 changed ""Nonprofits Projects"" to ""Nonprofit Projects""
",3,4,2015-04-29T17:17:26Z,2015-04-30T20:13:40Z,2015-04-30T20:13:40Z,100,1 days 02:56:14
Twitter zipline API endpoints,401,40,2,4,"Sorry, my bad. Totally forgot.
",1,3,2015-04-30T20:21:38Z,2015-05-05T18:24:41Z,2015-05-05T18:24:41Z,31,4 days 22:03:03
Mobile news,402,778,1460,28,,0,2,2015-05-01T02:11:08Z,2015-05-02T04:42:34Z,2015-05-02T04:42:34Z,0,1 days 02:31:26
Merge branch 'mobile-news',407,135,37,11,"Conflicts:
    views/challengeMap/show.jade
",0,1,2015-05-02T04:56:40Z,2015-05-02T06:13:08Z,2015-05-02T06:13:08Z,44,0 days 01:16:28
